offence_group,ucr_code,violation,region,year,incidents,incidents_per_100k,base_year,index
Assaults,1430,Assault,Canada,2010,175289,515.48,1998,84.48552791162685
Assaults,1430,Assault,Canada,2011,173099,504.08,1998,82.6171042711509
Assaults,1430,Assault,Canada,2012,170291,490.55,1998,80.39958042416495
Assaults,1430,Assault,Canada,2013,158259,451.1,1998,73.93385124725474
Assaults,1430,Assault,Canada,2014,153832,434.09,1998,71.14596649949192
Assaults,1430,Assault,Canada,2015,157046,439.87,1998,72.09329006457534
Assaults,1430,Assault,Canada,2016,159592,441.95,1998,72.43419543055693
Assaults,1430,Assault,Canada,2017,163279,446.79,1998,73.22745599370637
Assaults,1430,Assault,Canada,2018,170138,458.93,1998,75.21716327400269
Assaults,1430,Assault,Canada,2019,188186,500.25,1998,81.98937948667519
Assaults,1430,Assault,Canada,2020,178952,470.57,1998,77.12492214901499
Assaults,1430,Assault,Canada,2021,185199,484.31,1998,79.37686432622021
Assaults,1430,Assault,Canada,2022,196990,505.75,1998,82.89081194479955
Assaults,1430,Assault,Canada,2023,209899,524.1,1998,85.89831841872358
Assaults,1430,Assault,Canada,2024,216989,525.88,1998,86.19005474153472
Assaults,1430,Assault,Canada,2025,219951,528.07,1998,86.5489887566788
Assaults,1430,Assault,Ontario,1998,64101,563.92,1998,100
Assaults,1430,Assault,Ontario,1999,61431,533.89,1998,94.67477656405164
Assaults,1430,Assault,Ontario,2000,64941,555.75,1998,98.55121293800539
Assaults,1430,Assault,Ontario,2001,65069,546.95,1998,96.99070790183006
Assaults,1430,Assault,Ontario,2002,61356,507.45,1998,89.98616825081572
Assaults,1430,Assault,Ontario,2003,56893,464.73,1998,82.41062562065542
Assaults,1430,Assault,Ontario,2004,54313,438.34,1998,77.73088381330685
Assaults,1430,Assault,Ontario,2005,54311,433.5,1998,76.87260604341041
Assaults,1430,Assault,Ontario,2006,55286,436.64,1998,77.42942261313662
Assaults,1430,Assault,Ontario,2007,53939,422.58,1998,74.93616115761101
Assaults,1430,Assault,Ontario,2008,53249,413.34,1998,73.2976308696269
Assaults,1430,Assault,Ontario,2009,51251,394.31,1998,69.92303872889772
Assaults,1430,Assault,Ontario,2010,50892,387.45,1998,68.70655412115194
Assaults,1430,Assault,Ontario,2011,50398,380.04,1998,67.3925379486452
Assaults,1430,Assault,Ontario,2012,48223,360.12,1998,63.86012200312101
Assaults,1430,Assault,Ontario,2013,45707,338.3,1998,59.99077883387716
Assaults,1430,Assault,Ontario,2014,44393,326,1998,57.80961838558662
Assaults,1430,Assault,Ontario,2015,44546,324.98,1998,57.628741665484476
Assaults,1430,Assault,Ontario,2016,45501,327.9,1998,58.14654560930629
Assaults,1430,Assault,Ontario,2017,47488,337.31,1998,59.81522201730742
Assaults,1430,Assault,Ontario,2018,51217,357.49,1998,63.39374379344589
Assaults,1430,Assault,Ontario,2019,53966,370.3,1998,65.66534260178749
Assaults,1430,Assault,Ontario,2020,48565,328.99,1998,58.339835437650734
Assaults,1430,Assault,Ontario,2021,50709,341.65,1998,60.584834728330264
Assaults,1430,Assault,Ontario,2022,54586,360.16,1998,63.86721520783091
Assaults,1430,Assault,Ontario,2023,60616,387.76,1998,68.76152645765357
Assaults,1430,Assault,Ontario,2024,63958,396.15,1998,70.24932614555256
Assaults,1430,Assault,Ontario,2025,64858,398.92,1998,70.74053057171231
Assaults,1430,Assault,Region,1998,2229,516.85,1998,100
Assaults,1430,Assault,Region,1999,1770,403.09,1998,77.9897455741511
Assaults,1430,Assault,Region,2000,1892,422.29,1998,81.70455644771211
Assaults,1430,Assault,Region,2001,1789,392.02,1998,75.84792492986358
Assaults,1430,Assault,Region,2002,1565,337.25,1998,65.25103995356486
Assaults,1430,Assault,Region,2003,1517,322.57,1998,62.41075747315469
Assaults,1430,Assault,Region,2004,1579,328.24,1998,63.507787559253174
Assaults,1430,Assault,Region,2005,1449,296.28,1998,57.32417529263809
Assaults,1430,Assault,Region,2006,1700,341.02,1998,65.9804585469672
Assaults,1430,Assault,Region,2007,1577,313.6,1998,60.675244268162906
Assaults,1430,Assault,Region,2008,1676,329.71,1998,63.79220276676018
Assaults,1430,Assault,Region,2009,1905,371.75,1998,71.92609074199477
Assaults,1430,Assault,Region,2010,1944,375.49,1998,72.64970494340717
Assaults,1430,Assault,Region,2011,1982,378.46,1998,73.22433975041113
Assaults,1430,Assault,Region,2012,1934,365.79,1998,70.77295153332689
Assaults,1430,Assault,Region,2013,1778,333.46,1998,64.51775176550257
Assaults,1430,Assault,Region,2014,1667,310.32,1998,60.04063074392957
Assaults,1430,Assault,Region,2015,1731,319.32,1998,61.781948340911285
Assaults,1430,Assault,Region,2016,1815,328.07,1998,63.47489600464351
Assaults,1430,Assault,Region,2017,2165,382.84,1998,74.07178098094224
Assaults,1430,Assault,Region,2018,2620,451.61,1998,87.37738221921254
Assaults,1430,Assault,Region,2019,3041,511.47,1998,98.95907903647092
Assaults,1430,Assault,Region,2020,3211,529.07,1998,102.36432233723518
Assaults,1430,Assault,Region,2021,3289,535.43,1998,103.59485343910224
Assaults,1430,Assault,Region,2022,3316,518.7,1998,100.35793750604624
Assaults,1430,Assault,Region,2023,3576,529.43,1998,102.43397504111442
Assaults,1430,Assault,Region,2024,3881,546.64,1998,105.76376124600948
Assaults,1430,Assault,Region,2025,3811,535.66,1998,103.63935377769178
Assaults,140,Other assaults,Canada,1998,5484,18.18,1998,100
Assaults,140,Other assaults,Canada,1999,5080,16.71,1998,91.91419141914193
Assaults,140,Other assaults,Canada,2000,4586,14.94,1998,82.17821782178217
Assaults,140,Other assaults,Canada,2001,4247,13.69,1998,75.3025302530253
Assaults,140,Other assaults,Canada,2002,4067,12.97,1998,71.34213421342135
Assaults,140,Other assaults,Canada,2003,3778,11.94,1998,65.67656765676567
Assaults,140,Other assaults,Canada,2004,3713,11.62,1998,63.91639163916392
Assaults,140,Other assaults,Canada,2005,3257,10.1,1998,55.55555555555556
Assaults,140,Other assaults,Canada,2006,3472,10.66,1998,58.63586358635864
Assaults,140,Other assaults,Canada,2007,4011,12.2,1998,67.1067106710671
Assaults,140,Other assaults,Canada,2008,3875,11.66,1998,64.13641364136414
Assaults,140,Other assaults,Canada,2009,3427,10.19,1998,56.05060506050605
Assaults,140,Other assaults,Canada,2010,3281,9.65,1998,53.08030803080308
Assaults,140,Other assaults,Canada,2011,2986,8.7,1998,47.85478547854785
Assaults,140,Other assaults,Canada,2012,2906,8.37,1998,46.039603960396036
Assaults,140,Other assaults,Canada,2013,2639,7.52,1998,41.36413641364136
Assaults,140,Other assaults,Canada,2014,2148,6.06,1998,33.33333333333333
Assaults,140,Other assaults,Canada,2015,2151,6.02,1998,33.11331133113311
Assaults,140,Other assaults,Canada,2016,1863,5.16,1998,28.38283828382838
Assaults,140,Other assaults,Canada,2017,1973,5.4,1998,29.702970297029708
Assaults,140,Other assaults,Canada,2018,2124,5.73,1998,31.518151815181522
Assaults,140,Other assaults,Canada,2019,2249,5.98,1998,32.893289328932894
Assaults,140,Other assaults,Canada,2020,1822,4.79,1998,26.347634763476346
Assaults,140,Other assaults,Canada,2021,1922,5.03,1998,27.66776677667767
Assaults,140,Other assaults,Canada,2022,2086,5.36,1998,29.482948294829487
Assaults,140,Other assaults,Canada,2023,2364,5.9,1998,32.45324532453245
Assaults,140,Other assaults,Canada,2024,2720,6.59,1998,36.24862486248625
Assaults,140,Other assaults,Canada,2025,2888,6.93,1998,38.11881188118812
Assaults,140,Other assaults,Ontario,1998,2215,19.49,1998,100
Assaults,140,Other assaults,Ontario,1999,2065,17.95,1998,92.09851205746537
Assaults,140,Other assaults,Ontario,2000,2270,19.43,1998,99.69214982042074
Assaults,140,Other assaults,Ontario,2001,2004,16.85,1998,86.45459209851208
Assaults,140,Other assaults,Ontario,2002,1954,16.16,1998,82.91431503335043
Assaults,140,Other assaults,Ontario,2003,1909,15.59,1998,79.98973832734735
Assaults,140,Other assaults,Ontario,2004,2017,16.28,1998,83.530015392509
Assaults,140,Other assaults,Ontario,2005,1982,15.82,1998,81.16983068240124
Assaults,140,Other assaults,Ontario,2006,2312,18.26,1998,93.68907131862495
Assaults,140,Other assaults,Ontario,2007,2560,20.06,1998,102.92457670600308
Assaults,140,Other assaults,Ontario,2008,2229,17.3,1998,88.76346844535661
Assaults,140,Other assaults,Ontario,2009,2185,16.81,1998,86.24935864545921
Assaults,140,Other assaults,Ontario,2010,2133,16.24,1998,83.32478193945613
Assaults,140,Other assaults,Ontario,2011,1916,14.45,1998,74.14058491534121
Assaults,140,Other assaults,Ontario,2012,1855,13.85,1998,71.06208311954849
Assaults,140,Other assaults,Ontario,2013,1628,12.05,1998,61.82657773217035
Assaults,140,Other assaults,Ontario,2014,1125,8.26,1998,42.38070805541304
Assaults,140,Other assaults,Ontario,2015,1102,8.04,1998,41.25192406362237
Assaults,140,Other assaults,Ontario,2016,959,6.91,1998,35.45407901487943
Assaults,140,Other assaults,Ontario,2017,988,7.02,1998,36.01847101077475
Assaults,140,Other assaults,Ontario,2018,1015,7.08,1998,36.32632119035403
Assaults,140,Other assaults,Ontario,2019,989,6.79,1998,34.83837865572089
Assaults,140,Other assaults,Ontario,2020,698,4.73,1998,24.268855823499237
Assaults,140,Other assaults,Ontario,2021,724,4.88,1998,25.03848127244741
Assaults,140,Other assaults,Ontario,2022,709,4.68,1998,24.01231400718317
Assaults,140,Other assaults,Ontario,2023,785,5.02,1998,25.756798358132375
Assaults,140,Other assaults,Ontario,2024,843,5.22,1998,26.782965623396613
Assaults,140,Other assaults,Ontario,2025,798,4.91,1998,25.192406362237048
Assaults,140,Other assaults,Region,1998,72,16.7,1998,100
Assaults,140,Other assaults,Region,1999,56,12.75,1998,76.34730538922156
Assaults,140,Other assaults,Region,2000,52,11.61,1998,69.52095808383233
Assaults,140,Other assaults,Region,2001,71,15.56,1998,93.17365269461078
Assaults,140,Other assaults,Region,2002,64,13.79,1998,82.57485029940119
Assaults,140,Other assaults,Region,2003,80,17.01,1998,101.85628742514972
Assaults,140,Other assaults,Region,2004,18,3.74,1998,22.395209580838326
Assaults,140,Other assaults,Region,2005,25,5.11,1998,30.598802395209585
Assaults,140,Other assaults,Region,2006,53,10.63,1998,63.65269461077845
Assaults,140,Other assaults,Region,2007,74,14.72,1998,88.14371257485031
Assaults,140,Other assaults,Region,2008,68,13.38,1998,80.11976047904193
Assaults,140,Other assaults,Region,2009,106,20.69,1998,123.8922155688623
Assaults,140,Other assaults,Region,2010,88,17,1998,101.79640718562875
Assaults,140,Other assaults,Region,2011,84,16.04,1998,96.04790419161677
Assaults,140,Other assaults,Region,2012,72,13.62,1998,81.55688622754491
Assaults,140,Other assaults,Region,2013,88,16.5,1998,98.80239520958084
Assaults,140,Other assaults,Region,2014,73,13.59,1998,81.37724550898204
Assaults,140,Other assaults,Region,2015,73,13.47,1998,80.65868263473055
Assaults,140,Other assaults,Region,2016,97,17.53,1998,104.97005988023953
Assaults,140,Other assaults,Region,2017,113,19.98,1998,119.64071856287426
Assaults,140,Other assaults,Region,2018,129,22.24,1998,133.17365269461078
Assaults,140,Other assaults,Region,2019,87,14.63,1998,87.60479041916169
Assaults,140,Other assaults,Region,2020,77,12.69,1998,75.9880239520958
Assaults,140,Other assaults,Region,2021,70,11.4,1998,68.26347305389223
Assaults,140,Other assaults,Region,2022,73,11.42,1998,68.38323353293413
Assaults,140,Other assaults,Region,2023,65,9.62,1998,57.60479041916168
Assaults,140,Other assaults,Region,2024,78,10.99,1998,65.80838323353294
Assaults,140,Other assaults,Region,2025,70,9.84,1998,58.92215568862276
Sexual offences,130,Sexual violations against children,Canada,2015,5256,14.72,2015,100
Sexual offences,130,Sexual violations against children,Canada,2016,7334,20.31,2015,137.97554347826087
Sexual offences,130,Sexual violations against children,Canada,2017,8276,22.65,2015,153.87228260869563
Sexual offences,130,Sexual violations against children,Canada,2018,9075,24.48,2015,166.30434782608697
Sexual offences,130,Sexual violations against children,Canada,2019,10339,27.48,2015,186.68478260869566
Sexual offences,130,Sexual violations against children,Canada,2020,10745,28.26,2015,191.98369565217394
Sexual offences,130,Sexual violations against children,Canada,2021,12838,33.57,2015,228.0570652173913
Sexual offences,130,Sexual violations against children,Canada,2022,12358,31.73,2015,215.5570652173913
Sexual offences,130,Sexual violations against children,Canada,2023,11956,29.85,2015,202.78532608695653
Sexual offences,130,Sexual violations against children,Canada,2024,13586,32.93,2015,223.70923913043475
Sexual offences,130,Sexual violations against children,Canada,2025,13576,32.59,2015,221.39945652173915
Sexual offences,130,Sexual violations against children,Ontario,2015,1113,8.12,2015,100
Sexual offences,130,Sexual violations against children,Ontario,2016,2028,14.61,2015,179.92610837438426
Sexual offences,130,Sexual violations against children,Ontario,2017,2111,14.99,2015,184.60591133004928
Sexual offences,130,Sexual violations against children,Ontario,2018,2278,15.9,2015,195.8128078817734
Sexual offences,130,Sexual violations against children,Ontario,2019,2319,15.91,2015,195.93596059113304
Sexual offences,130,Sexual violations against children,Ontario,2020,2473,16.75,2015,206.2807881773399
Sexual offences,130,Sexual violations against children,Ontario,2021,2815,18.97,2015,233.6206896551724
Sexual offences,130,Sexual violations against children,Ontario,2022,2797,18.45,2015,227.2167487684729
Sexual offences,130,Sexual violations against children,Ontario,2023,2680,17.14,2015,211.08374384236456
Sexual offences,130,Sexual violations against children,Ontario,2024,2814,17.43,2015,214.6551724137931
Sexual offences,130,Sexual violations against children,Ontario,2025,2609,16.05,2015,197.66009852216752
Sexual offences,130,Sexual violations against children,Region,2015,59,10.88,2015,100
Sexual offences,130,Sexual violations against children,Region,2016,122,22.05,2015,202.66544117647055
Sexual offences,130,Sexual violations against children,Region,2017,148,26.17,2015,240.53308823529412
Sexual offences,130,Sexual violations against children,Region,2018,178,30.68,2015,281.9852941176471
Sexual offences,130,Sexual violations against children,Region,2019,176,29.6,2015,272.05882352941177
Sexual offences,130,Sexual violations against children,Region,2020,180,29.66,2015,272.6102941176471
Sexual offences,130,Sexual violations against children,Region,2021,192,31.26,2015,287.31617647058823
Sexual offences,130,Sexual violations against children,Region,2022,174,27.22,2015,250.18382352941174
Sexual offences,130,Sexual violations against children,Region,2023,200,29.61,2015,272.1507352941176
Sexual offences,130,Sexual violations against children,Region,2024,251,35.35,2015,324.9080882352941
Sexual offences,130,Sexual violations against children,Region,2025,232,32.61,2015,299.7242647058823
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,1998,529,1.75,1998,100
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,1999,461,1.52,1998,86.85714285714286
