school_name,address,latitude,longitude
Trillium Public School,79 Laurentian Dr Kitchener ON N2E 1C3,43.4177451,-80.49656407452896
UTurn Cambridge,60 McDonald Avenue Cambridge ON N2J 2A9,43.3473175,-80.30459132110093
UTurn Waterloo,151 Weber St S Waterloo ON N1R 4J2,43.4643572,-80.5042809
Vista Hills Public School,314 Sweet Gale St Waterloo ON N2V 0B3,43.4522082,-80.59095648453035
W T Townshend Public School,245 Activa Ave Kitchener ON N2E 4A3,43.4065353,-80.51609874274064
Waterloo Collegiate Institute,300 Hazel St Waterloo ON N2L 3P2,43.47934645,-80.52978841951767
Waterloo-Oxford District Secondary School,1206 Snyder's Rd W Baden ON N3A 1A4,43.40153897135157,-80.68408311177797
Wellesley Public School,1059 Queen's Bush Rd Wellesley ON N0B 2T0,43.477826199999996,-80.75677723022004
Westheights Public School,429 Westheights Dr Kitchener ON N2N 1M3,43.41933385,-80.5349551616786
Westmount Public School,329 Glasgow St Kitchener ON N2M 2M9,43.4493292,-80.52155894197145
Westvale Public School,265 Westvale Dr Waterloo ON N2T 2B2,43.444583449999996,-80.56088119799006
William G Davis Public School,530 Langs Dr Cambridge ON N3H 5G5,43.397842999999995,-80.34219514862627
Williamsburg Public School,760 Commonwealth Cres Kitchener ON N2E 4K7,43.4027144,-80.50398061060531
Wilson Avenue Public School,221 Wilson Ave Kitchener ON N2C 1G9,43.42597615,-80.45367645796043
Winston Churchill Public School,100 Milford Ave Waterloo ON N2L 3Z3,43.48620585,-80.5339971914904
Woodland Park Public School,555 Ellis Road Cambridge ON N3C 4K2,43.4288795,-80.2946158269754
Wrigley Corners Outdoor and Environmental Education Centre,2366 Spragues Rd North Dumfries ON N0B 1W0,43.28878566689925,-80.38543083130573
