date,metric,value,holiday,year,month,month_num,year_month,day_of_week,type_of_day,weekend_holiday,covid_lockdown
2019-03-07,Service Level (sec),30,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-08,Avg Handle Time,118,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Avg Queue Time,15,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Avg Speed of Answer,14,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Calls Abandoned,17,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Calls Abandoned < Service Level,12,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Calls Handled,234,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Calls Handled < Service Level,217,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Calls Presented,251,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Max Handle Time,798,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Max Queue Time,216,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Percentage of Calls Abandoned,6.8,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Percentage of Calls Handled,93.2,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-08,Percentage of Service Level Met (Handled),92.7,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
